id,ground_truth,question_type,complexity,raw_correct,proc_correct,raw_time,proc_time
47,Mangaldeep,free_text,simple,True,True,5.721,5.836
48,Aim,free_text,simple,True,True,6.846,4.975
49,Responsible Luxury,free_text,simple,True,True,7.695,5.079
50,$200,form,simple,False,False,4.891,4.408
51,$485,form,simple,False,False,3.918,3.517
52,82%,table/list,simple,False,False,2.625,2.553
53,Emotional Enhancement,layout,simple,True,True,1.609,1.598
54,29,layout,simple,False,False,1.648,1.586
55,meharry medical college,layout,medium,True,True,1.306,1.117
56,Scissors Menthol Fresh,Image/Photo,medium,False,False,1.162,1.627
57,February 24,form,simple,True,False,4.994,3.521
58,64%,table/list,simple,False,False,1.568,1.571
59,Wendell Rodricks Now At Wills Lifestyle,Image/Photo,medium,False,False,1.022,1.638
60,16,layout,simple,True,True,2.402,1.649
61,"GENERAL FOOD FUND, INC",form,medium,False,False,1.273,1.141
62,johnplayers jeans,Image/Photo,simple,False,False,1.012,0.982
63,Uttar Pradesh and Kerala,Image/Photo,medium,False,False,1.017,0.974
64,seven,free_text,simple,True,True,5.319,3.66
65,58.5,table/list,simple,True,True,4.046,3.064
66,40,table/list,simple,True,True,6.033,3.018
67,30,table/list,simple,True,True,4.055,3.686
68,5,table/list,simple,True,True,5.046,3.009
69,33.0,table/list,simple,True,True,4.09,4.826
70,37.0,table/list,simple,True,True,4.173,2.902
71,TEN,free_text,simple,True,True,4.191,5.054
72,FOUR WEEKS,free_text,simple,True,True,3.722,3.53
73,CAUDAL VEIN,free_text,simple,True,True,5.793,3.51
74,ITC Limited,layout,simple,False,False,1.289,0.593
75,BASAL DIET,free_text,simple,True,True,3.735,5.54
76,103,table/list,simple,False,False,3.683,3.474
77,PLATTE COUNTY VOLUNTEERS AGAINST HUNGER,form,medium,True,True,1.342,0.837
78,itc,layout,simple,False,False,1.922,0.952
79,"34,400",table/list,simple,False,True,3.276,2.328
80,29.9,table/list,simple,False,True,2.537,2.383
81,report and accounts,layout,medium,False,False,1.286,0.915
82,ltl service,free_text,simple,True,True,5.719,3.621
83,"1,423",table/list,simple,False,True,2.505,2.703
84,"33,600",table/list,simple,False,True,5.508,2.35
85,scientists,free_text,simple,False,False,5.204,7.662
86,Dr. Joseph C. Hwang,free_text,medium,True,True,5.312,7.651
87,Dr. Arley T. Bever,free_text,medium,True,True,5.276,6.609
88,four,free_text,simple,True,True,6.12,5.608
89,esequiel granado,free_text,simple,True,True,6.807,3.7
90,Steering Committee Meeting,layout,medium,True,True,3.979,5.087
91,Volunteers Against Hunger Steering Committee,layout,medium,True,True,4.043,3.161
92,Bert Shulimson,layout,simple,True,True,4.613,4.422
93,bingo,Image/Photo,simple,True,True,1.348,0.983
94,"Holiday Inn Downtown , Jefferson City , Missouri",free_text,complex,False,False,3.899,4.003
95,candyman,Image/Photo,simple,False,False,2.194,1.212
96,available,layout,simple,True,True,4.398,3.686
97,wanted,layout,simple,True,True,6.472,3.778
98,independent ice and cold storage co.,layout,medium,False,False,4.491,5.707
99,Menopausal Health Publication Management,layout,medium,True,True,4.512,4.849
100,20 years,free_text,simple,True,True,6.36,3.66
101,10:00 - 11:30 AM,layout,medium,False,False,4.542,6.855
102,ronald f. meyer,free_text,medium,True,False,4.44,3.626
103,609/924-6648,form,simple,True,True,6.467,4.814
104,"January 18, 2005",form,medium,True,True,5.308,6.002
105,swanson center for nutrition,layout,medium,True,False,4.469,5.766
106,mint-o,Image/Photo,simple,False,False,1.777,0.977
107,1979,layout,simple,True,True,4.48,4.596
108,bingo,Image/Photo,simple,True,True,2.207,1.689
109,july,layout,simple,True,False,4.353,4.304
110,bingo,Image/Photo,simple,True,True,1.348,1.71
111,723,table/list,simple,True,True,5.428,4.342
112,candyman,Image/Photo,simple,False,False,1.293,0.992
113,projects,table/list,simple,True,True,6.37,4.301
114,mint-o,Image/Photo,simple,False,False,1.27,0.996
115,candyman,Image/Photo,simple,False,False,1.326,1.026
116,Aashirvaad,Image/Photo,simple,True,True,6.948,5.242
117,ITC Limited,layout,simple,False,False,7.057,5.274
118,Sunfeast Yippee!,free_text,simple,True,True,5.237,6.909
119,mint-o Ultra mintz,free_text,medium,True,True,4.949,7.323
120,Fiama Di Wills,free_text,medium,True,True,4.978,5.942
121,ITC Limited,Image/Photo,simple,True,True,1.779,1.473
122,Sunfeast,Image/Photo,simple,True,True,1.072,0.991
123,Snacky,Image/Photo,simple,False,False,1.075,1.016
124,Dream Cream,Image/Photo,simple,False,False,1.08,0.982
125,"Carol A. Tozzi, Ph.D.",form,medium,True,True,5.591,5.642
126,"July 26, 2000",form,medium,True,True,4.513,6.554
127,essenza di wills,Image/Photo,medium,True,True,2.305,2.009
128,fiama di wills,Image/Photo,medium,True,True,2.247,2.047
129,fiama di wills,free_text,medium,True,True,2.792,3.412
130,essenza di wills,free_text,medium,True,True,2.211,2.018
131,34,layout,simple,True,True,2.461,2.799
132,the irish sea,layout,medium,True,True,2.282,1.268
133,autumn 1969,layout,simple,True,True,1.882,0.722
134,yes,table/list,simple,True,True,2.43,2.686
135,the natural environment research council,layout,medium,True,True,1.562,0.761
136,"19,000",table/list,simple,True,True,4.583,2.963
137,1971,layout,simple,True,True,1.57,0.715
138,itc limited,layout,simple,True,True,1.749,1.668
139,"34,500",table/list,simple,True,True,3.729,3.839
140,stock keeping units,free_text,medium,True,True,1.722,1.656
141,bird,layout,simple,True,True,1.563,0.707
142,PROJECT ASSIGNMENT FORM,layout,medium,True,True,4.61,6.426
143,SARGASSO SEA TEMPERATURE,figure/diagram,medium,True,True,11.763,9.219
144,Exxonmobil,layout,simple,False,False,11.62,11.406
145,"John A. SMith, Ph.D.",form,medium,True,True,4.137,6.793
146,vivel,Image/Photo,simple,False,False,1.895,1.668
147,215-741-4052,form,simple,True,True,4.024,6.57
148,the natural environment research council,Image/Photo,medium,True,True,1.761,0.719
149,series c no4,layout,medium,True,True,1.574,0.738
150,25.9,table/list,simple,False,False,2.992,2.602
151,18 million,free_text,simple,True,True,4.597,3.304
152,Philip Morris Super Lights,free_text,medium,True,True,2.706,3.114
153,690,table/list,simple,True,True,4.47,3.32
154,INTER-OFFICE CORRESPONDENCE,layout,simple,False,True,6.719,8.468
155,"Hartsville , TN",form,medium,False,False,1.122,1.065
156,21.0,table/list,simple,False,False,3.049,2.572
157,Maria Shulleeta,form,simple,True,True,8.79,6.727
158,- 2 -,layout,medium,False,False,2.43,1.243
159,inter and intra federal government coordination,layout,medium,False,False,1.62,0.732
160,charles d. nesbit,table/list,medium,True,True,2.311,2.262
161,the organizing committee,layout,medium,True,True,1.539,1.315
162,international union of nutritional sciences,layout,medium,False,False,2.449,2.286
163,8:15 to 8:56 a.m.,table/list,medium,False,False,2.317,2.19
164,"september 3 to 9, 1972",layout,medium,True,True,1.547,1.307
165,charles d. nesbit,table/list,medium,True,True,2.354,3.668
166,international congress of nutrition,layout,medium,False,False,1.931,1.325
167,mexican government,layout,simple,True,True,1.481,1.303
168,questions and answers,table/list,medium,True,True,2.397,2.17
169,"english, french and spanish",form,medium,False,False,2.294,2.276
170,questions and answers,table/list,medium,True,True,2.546,2.21
171,mexico city,layout,simple,True,True,1.536,1.341
172,charles d. nesbit,table/list,medium,True,True,2.31,3.429
173,"february 7, 1994",form,medium,True,True,4.415,3.911
174,brown & williamson tobacco corporation,layout,medium,False,True,3.951,5.615
175,approved,free_text,simple,True,True,3.637,4.039
176,"monday, may 15",layout,medium,True,True,3.709,3.025
177,94.7680,table/list,simple,True,True,2.432,2.597
178,60-1120,table/list,simple,True,True,2.408,3.417
179,110-120 f,free_text,simple,True,True,3.469,2.509
180,4-30-92,handwritten,simple,False,False,2.671,2.725
181,laboratory research division,layout,medium,True,True,2.879,1.953
182,University of Maine,free_text,medium,True,True,6.354,7.423
183,Forest Products Laboratory,free_text,medium,True,True,6.826,6.973
184,proprietary cellulose acetate web,free_text,medium,False,False,7.405,6.653
185,research department,layout,simple,True,False,3.286,1.155
186,research service department,layout,medium,False,False,2.094,1.139
187,"USMM 1/95-6/95, 12-Month Data",form,medium,True,True,1.112,1.091
188,KOOLS,table/list,simple,True,True,3.051,4.768
189,78.2%,table/list,simple,True,True,1.134,1.055
190,CAPRI,table/list,simple,True,True,2.975,2.783
191,"August 31, 1963",layout,medium,True,True,3.872,4.035
192,31,table/list,simple,False,False,1.099,1.073
193,"$ 7,265,516",table/list,simple,False,False,3.048,2.762
194,METH DEV,table/list,simple,True,True,3.723,3.101
195,TVB,table/list,simple,True,False,2.554,2.367
196,1.0,table/list,simple,False,False,2.491,3.198
197,"8,899,947",table/list,simple,True,True,4.17,2.704
198,6,table/list,simple,True,True,2.448,2.299
199,administration,table/list,simple,False,True,4.544,3.129
200,"$ 3,038,444",table/list,simple,False,False,3.051,2.703
201,KOOL KS,layout,simple,True,True,1.528,2.512
202,KOOL KS,free_text,simple,True,True,2.684,1.724
203,1R4F REFERENCE RESULTS,layout,medium,True,True,1.201,1.244
204,AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100,figure/diagram,complex,False,False,1.155,1.216
205,MT-778,form,simple,True,True,6.98,6.109
206,"CASED, REDR BUR FOR BEST 327391",form,medium,True,True,5.839,7.395
207,"1,228.2",table/list,simple,True,True,5.488,7.693
208,28.0,table/list,simple,True,True,5.464,7.66
209,Z86,form,simple,True,True,2.511,3.224
210,Consumer Dynamics GPC,layout,medium,False,False,1.34,1.074
211,(89),table/list,simple,False,False,1.38,1.869
212,69,table/list,simple,False,False,2.252,1.241
213,2.5%,table/list,simple,True,True,1.281,1.066
214,"USMM 1/95-6/95, 12 Month Data",form,medium,False,False,1.299,1.106
215,12427,table/list,simple,True,True,2.508,3.876
216,12,table/list,simple,True,True,3.539,3.016
217,Citrate,free_text,simple,True,True,2.422,3.05
218,KOOL KS and CAPRI 100,table/list,medium,False,False,3.866,3.516
219,"Fred L. Smith, Jr.",free_text,medium,False,False,7.214,8.469
220,14-3006-14,form,simple,True,True,3.918,4.95
221,"Fred L. Smith, Jr.",free_text,medium,False,False,8.167,7.989
222,BURKE,form,simple,True,True,4.43,4.114
223,Sidestream Smoke Chamber,free_text,medium,True,True,9.36,6.526
224,Zero Span,free_text,simple,True,True,9.337,6.618
225,University of Maine,free_text,medium,True,True,9.325,7.307
226,12,layout,simple,False,False,2.546,1.197
227,1,layout,simple,True,True,1.658,1.112
228,weeks of consumption,figure/diagram,medium,True,True,1.663,1.069
229,paul saltman,layout,simple,False,False,2.611,5.717
230,diet consumed [mls],figure/diagram,medium,False,False,1.671,1.103
231,NNK,free_text,simple,True,True,7.244,9.213
232,tobacco-specific nitrosamine,free_text,simple,True,True,8.785,7.957
233,The levels ranged from 0.05 - 0.23 ppm,free_text,complex,True,True,9.1,7.585
234,"Control [C], Thiamine deficient [TD], Ethanol-fed [ET], AND [TD+ ET] groups",layout,complex,False,False,2.082,1.909
235,Hongkong,form,simple,False,False,3.388,3.686
236,change of due dates for monthly payroll recommendations for december - academic and nonacademic,form,complex,False,False,3.691,3.86
237,240.00,table/list,simple,False,False,8.323,10.758
238,thiamine deficient,layout,simple,True,True,1.683,1.106
239,dean's office,form,simple,True,True,3.676,4.035
240,2,figure/diagram,simple,True,True,2.093,1.096
241,62272,form,simple,True,True,7.332,6.689
242,thiamine deficient [td],figure/diagram,medium,True,True,1.675,1.087
243,KOOL 100,free_text,simple,True,True,2.097,1.867
244,B&W,free_text,simple,False,False,2.186,3.293
245,0.57%,free_text,simple,True,True,2.682,1.868
246,c,figure/diagram,simple,True,True,1.657,1.086
247,93-51954,form,simple,True,True,9.464,4.677
248,1994,free_text,simple,True,True,2.184,1.925
249,c,figure/diagram,simple,True,True,2.488,1.904
250,11/8/2001,others,simple,True,True,7.098,8.873
251,Nicotine RSM Study,table/list,medium,True,True,1.238,1.366
252,et,figure/diagram,simple,True,True,1.655,1.091
253,MAJOR STRATEGIC RESEARCH PROGRAMS,layout,medium,True,True,1.239,1.35
254,DESCRIPTION,table/list,simple,True,True,1.276,2.313
255,"may 2, 1978",form,medium,False,True,3.586,3.636
256,51092 5213,layout,simple,False,False,1.225,1.319
257,curriculum vitae,layout,simple,True,True,3.292,4.259
258,hormone replacement therapy,free_text,medium,True,True,6.988,8.791
259,thomas a. mccoy,layout,medium,True,True,3.023,2.598
260,For all our tomorrows,layout,medium,False,False,1.548,4.609
261,Sustainability updates,layout,simple,False,False,2.046,3.184
262,Mangaldeep,free_text,simple,False,False,1.519,3.178
263,5960 c,form,simple,False,False,1.611,2.574
264,december 1958,layout,simple,True,True,3.597,2.548
265,Sehore,free_text,simple,False,True,1.573,3.135
266,Madhya Pradesh,free_text,simple,False,True,1.936,4.721
267,education,table/list,simple,True,True,3.034,2.567
268,vanderbilt university,free_text,simple,True,True,1.634,1.369
269,"march 22, 1921",form,medium,True,True,4.912,2.576
270,1.0%,table/list,simple,True,True,1.181,1.366
271,83.4%,handwritten,simple,False,False,1.593,1.5
272,"public schools of ponca city, oklahoma",table/list,medium,True,True,4.037,3.591
273,6.1%,table/list,simple,True,True,1.196,1.377
274,WelcomHotel,free_text,simple,True,True,11.104,10.505
275,WelcomHeritage,free_text,simple,True,True,10.792,12.273
276,Dec-08,figure/diagram,simple,False,True,11.213,11.498
277,ITC-Welcomgroup,free_text,simple,True,True,9.699,12.234
278,-13%,figure/diagram,simple,False,False,11.34,12.122
279,10.3%,table/list,simple,True,True,1.33,1.44
280,CMRO,free_text,simple,True,True,6.178,12.472
281,N. Anand,table/list,simple,True,True,9.69,7.458
282,1952,table/list,simple,False,False,4.568,3.02
283,Virginia Slims Superslims Consumer Testing,form,medium,True,True,5.784,7.587
284,360-666-3549,form,simple,False,False,6.218,12.723
285,800-686-2276,form,simple,False,True,6.839,11.859
286,www.pharmedassociates.com,form,simple,False,False,8.214,12.52
287,4,table/list,simple,True,True,7.716,9.439
288,14,table/list,simple,True,True,8.096,9.223
289,2195,form,simple,False,False,7.328,11.331
290,Page Callaham,form,simple,True,True,3.85,2.91
291,$ 1795,form,simple,False,False,6.391,12.528
292,100.99,table/list,simple,True,True,7.015,7.626
293,1095,form,simple,False,False,7.744,11.052
294,12.19,table/list,simple,True,True,7.937,6.948
295,209.54,table/list,simple,True,True,7.808,6.891
296,Conversion of Loan to Equity,table/list,medium,True,True,7.812,7.009
297,Donation,table/list,simple,True,True,8.012,7.074
298,monthly,form,simple,True,True,7.476,5.211
299,06/15/74,form,simple,False,False,7.594,5.148
