id,ground_truth,question_type,complexity,raw_ocr_text,proc_ocr_text,raw_correct,proc_correct,raw_time,proc_time
51,$485,form,simple," 

sO te

tn &.  g B200
EXPENGASLE SCIENTIFIC ITEMS AND SERVICES (List major tema.
List miscellaneons items in groups up to amounts not exceeding $500.)

Liquid Nitrogen -

3

 

 

 
  

 

   

 

 

 

 

   

 

 

   

a. §

b. Chemicals and Sypplies oo 3

Oe cnnnnnneennnnnnnennnennessennnnnenneneeet s

ay &

& $§ seeneemnneennnenennnee

f. ee $e

Be kc cseeteenne eee tennant Sachn nnn nnennnnnennnnnnnnnnnnssnnnnnnnnnsnnnnnnnna § ¥ 685

§, OTHER EXPENSE

a. Travel te scientific meetings in excess of normal institutional policy ...

 

b. Raprinta and publication charges of scientific articles arising from grant... $100 $_.

 

5. TOTAL, exclusive of averhead .

 

& OVERHEAD, if applicable, 15% of item 5 (not more than 19%) oo ccacnnrn ncn §

P. TETAL AMGUNT of proposed budget (item 8 plug ite 6) oc ecresessnucsearensauesesesacnemensnuaneusonssenensnne

  

 

 

 

 

 

e
€ 5 ©
Sieh heat < eS
a prlicant _
. . Southern Methadist Oniversity
Apolcsnt, Institution
Copies: The Robert A. Welch Foundation (123 Date February 24 ,19 88

 

Applicant {1}
President or Chancellor (1)

 

Source: https://www.industrydocuments.ucsf:edu/does/hjfk0226
"," 

 

$2200

3, EXPENDABLE SCIENTIFIC ITEMS AND SERVICES (List major items,

List piscellgneous items in groups ap to amounts not exceeding $500.)
a, Laquid Nitroge 200

b. Chemicals ané Supplies —

 

 

 

 

 

c
d.
a cee gene renerrrerrreeeerrineereereeerrnnnrnerrrrrnrenrrnre—e—rsnnnunaaanaannnaannenaner SY
Ce
he 685
§, OTHER EXPENSE
a. Travel to scientific meetings in excess of normal institutional policy ..0000..5 150
b. Reprints and publication charges of scientific articles arising from grant ........ $109 ss. 250
5. TOTAL, exclusive of Overhead oe cccesssssssesssnssassnssseesssensnssersestessenesstessssneanenensseresserntenetnecetessssanesatersseeas
6. OVERHEAD, if applicable, 15% of item 5 (not more than 15%) ....
7. TOTAL AMOUNT of proposed budget (item § plas ie) 6) oc cssssseusssessnenesssscrsctsnenseeansesenseenesen

  

ewicz . aids 3 SM

Applicant President or Chancellor

fore Dyin my Tae

Southern Methodist University

 

Apglicant Institution
Copies: The Robert A. Welch Foundation (12) Date Febr 24 ,19 66.

Applicant (1}
President or Chancellor (1)

Source: https:/Awww.industrydocuments.ucsf.edu/docs/hjfk0226
",False,False,3.918,3.517
52,82%,table/list,simple,"Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

RYA712/MONITOR/mg/pt 7886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
","Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

FUR? 12/MONITOR img/pt Z886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
",False,False,2.625,2.553
53,Emotional Enhancement,layout,simple,"Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

RYA712/MONITOR/mg/pt 7886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
","Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

FUR? 12/MONITOR img/pt Z886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
",True,True,1.609,1.598
54,29,layout,simple,"Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

RYA712/MONITOR/mg/pt 7886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
","Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

FUR? 12/MONITOR img/pt Z886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
",False,False,1.648,1.586
55,meharry medical college,layout,medium,"MEHARRY MEDICAL COLLEGE
~ CENTER FOR NUTRITION

FIRST NUTRITION WORKSHOP

“THE IMPACT OF NUTRITION ON HEALTH AND
DISEASE IN BLACKS AND OTHER MINORITIES”

OCTOBER 28-30, 1987

LECTURE HALL #3
S.S. KRESGE LEARNING RESOURCES CENTER

SUPPORTED BY: GENERAL FOODS FUND, INC.

 
","MEHARRY MEDICAL COLLEGE
CENTER FOR NUTRITION

FIRST NUTRITION WORKSHOP

“THE IMPACT OF NUTRITION ON HEALTH AND
DISEASE IN BLACKS AND OTHER MINORITIES”

OCTOBER 28-30, 1987

LECTURE HALL #3
S.S. KRESGE LEARNING RESOURCES CENTER

SUPPORTED BY: GENERAL FOODS FUND, INC.

 
",True,True,1.306,1.117
56,Scissors Menthol Fresh,Image/Photo,medium,"\

| Gold | gs

ccs ce Royal Special

be iikcy

Se

Se
on

 
"," 

    
 

CU OE tee cee cgsiscs egg

Royal Special Scissors
Filter liars: |g ccre)

  
   

    
  

   
  

  

GOLD FLAKE “ISSOR

© MENTHOL
FRESH

&
BS

 

ee
",False,False,1.162,1.627
57,February 24,form,simple," 

sO te

tn &.  g B200
EXPENGASLE SCIENTIFIC ITEMS AND SERVICES (List major tema.
List miscellaneons items in groups up to amounts not exceeding $500.)

Liquid Nitrogen -

3

 

 

 
  

 

   

 

 

 

 

   

 

 

   

a. §

b. Chemicals and Sypplies oo 3

Oe cnnnnnneennnnnnnennnennessennnnnenneneeet s

ay &

& $§ seeneemnneennnenennnee

f. ee $e

Be kc cseeteenne eee tennant Sachn nnn nnennnnnennnnnnnnnnnnssnnnnnnnnnsnnnnnnnna § ¥ 685

§, OTHER EXPENSE

a. Travel te scientific meetings in excess of normal institutional policy ...

 

b. Raprinta and publication charges of scientific articles arising from grant... $100 $_.

 

5. TOTAL, exclusive of averhead .

 

& OVERHEAD, if applicable, 15% of item 5 (not more than 19%) oo ccacnnrn ncn §

P. TETAL AMGUNT of proposed budget (item 8 plug ite 6) oc ecresessnucsearensauesesesacnemensnuaneusonssenensnne

  

 

 

 

 

 

e
€ 5 ©
Sieh heat < eS
a prlicant _
. . Southern Methadist Oniversity
Apolcsnt, Institution
Copies: The Robert A. Welch Foundation (123 Date February 24 ,19 88

 

Applicant {1}
President or Chancellor (1)

 

Source: https://www.industrydocuments.ucsf:edu/does/hjfk0226
"," 

 

$2200

3, EXPENDABLE SCIENTIFIC ITEMS AND SERVICES (List major items,

List piscellgneous items in groups ap to amounts not exceeding $500.)
a, Laquid Nitroge 200

b. Chemicals ané Supplies —

 

 

 

 

 

c
d.
a cee gene renerrrerrreeeerrineereereeerrnnnrnerrrrrnrenrrnre—e—rsnnnunaaanaannnaannenaner SY
Ce
he 685
§, OTHER EXPENSE
a. Travel to scientific meetings in excess of normal institutional policy ..0000..5 150
b. Reprints and publication charges of scientific articles arising from grant ........ $109 ss. 250
5. TOTAL, exclusive of Overhead oe cccesssssssesssnssassnssseesssensnssersestessenesstessssneanenensseresserntenetnecetessssanesatersseeas
6. OVERHEAD, if applicable, 15% of item 5 (not more than 15%) ....
7. TOTAL AMOUNT of proposed budget (item § plas ie) 6) oc cssssseusssessnenesssscrsctsnenseeansesenseenesen

  

ewicz . aids 3 SM

Applicant President or Chancellor

fore Dyin my Tae

Southern Methodist University

 

Apglicant Institution
Copies: The Robert A. Welch Foundation (12) Date Febr 24 ,19 66.

Applicant (1}
President or Chancellor (1)

Source: https:/Awww.industrydocuments.ucsf.edu/docs/hjfk0226
",True,False,4.994,3.521
58,64%,table/list,simple,"Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

RYA712/MONITOR/mg/pt 7886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
","Emotional Enhancement

Smokers show above average
interest in romance and excitement

Feel the need to find more excitement and
sensation in life

Feel the need to restore romance and mystery
to modern life

But are more materialistic than non-smokers

Doing enjoyable things means more to me than
having a lot of prized possessions

There should be less emphasis on money
in our society

The only meaningful measure of success
is money

FUR? 12/MONITOR img/pt Z886 9EETS

Yankelovich MONITOR 1990

Non-
Smokers Smokers
% %

 
",False,False,1.568,1.571
59,Wendell Rodricks Now At Wills Lifestyle,Image/Photo,medium,"\

| Gold | gs

ccs ce Royal Special

be iikcy

Se

Se
on

 
"," 

    
 

CU OE tee cee cgsiscs egg

Royal Special Scissors
Filter liars: |g ccre)

  
   

    
  

   
  

  

GOLD FLAKE “ISSOR

© MENTHOL
FRESH

&
BS

 

ee
",False,False,1.022,1.638
60,16,layout,simple," 

i“ ~ © we ee Ye VY Ye Ye Ye eoLu @ ~~ Ye we ee
Procter & Gamble: Diapers

In an effort to regain branded market share, Procter & Gamble is returning
to a brand equity strategy.

1993 Initiatives
Increase advertising

-Performance, Value Positionings
-Major TV Campaign

¢Roll-out disposable training pants

°Test 50% thinner diapers (same as KC new product)

92S6 9EETS

16
"," 

id e~ we eR ke ewe Yee Ye De Ye oo r ) Soe ee eae 8
Procter & Gamble: Diapers

In an effort to regain branded market share, Procter & Gamble is returning
to a brand equity strategy.

1993 Initiatives
Increase advertising

-Performance, Value Positionings
-Major TV Campaign

*Roll-out disposable training pants

*Test 50% thinner diapers (same as KC new product)

9€S6 SECTS

16
",True,True,2.402,1.649
61,"GENERAL FOOD FUND, INC",form,medium,"MEHARRY MEDICAL COLLEGE
~ CENTER FOR NUTRITION

FIRST NUTRITION WORKSHOP

“THE IMPACT OF NUTRITION ON HEALTH AND
DISEASE IN BLACKS AND OTHER MINORITIES”

OCTOBER 28-30, 1987

LECTURE HALL #3
S.S. KRESGE LEARNING RESOURCES CENTER

SUPPORTED BY: GENERAL FOODS FUND, INC.

 
","MEHARRY MEDICAL COLLEGE
CENTER FOR NUTRITION

FIRST NUTRITION WORKSHOP

“THE IMPACT OF NUTRITION ON HEALTH AND
DISEASE IN BLACKS AND OTHER MINORITIES”

OCTOBER 28-30, 1987

LECTURE HALL #3
S.S. KRESGE LEARNING RESOURCES CENTER

SUPPORTED BY: GENERAL FOODS FUND, INC.

 
",False,False,1.273,1.141
62,johnplayers jeans,Image/Photo,simple,"\

| Gold | gs

ccs ce Royal Special

be iikcy

Se

Se
on

 
"," 

    
 

CU OE tee cee cgsiscs egg

Royal Special Scissors
Filter liars: |g ccre)

  
   

    
  

   
  

  

GOLD FLAKE “ISSOR

© MENTHOL
FRESH

&
BS

 

ee
",False,False,1.012,0.982
63,Uttar Pradesh and Kerala,Image/Photo,medium,"\

| Gold | gs

ccs ce Royal Special

be iikcy

Se

Se
on

 
"," 

    
 

CU OE tee cee cgsiscs egg

Royal Special Scissors
Filter liars: |g ccre)

  
   

    
  

   
  

  

GOLD FLAKE “ISSOR

© MENTHOL
FRESH

&
BS

 

ee
",False,False,1.017,0.974
64,seven,free_text,simple,"SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.I.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

=

_within two weeks of admission to the M.I. T.,Clinical Center, to their

respective State schools,

Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are.

farther described in Section 3 of this report.

‘Details are given in Table 2 for the seven children who were

studied during the entire experimental period. ~
Table 2

Age and weight of children and experimental design used for
studies of milk protein dilution!

amber ganar

e096

Subject Age Initial Wt. Final Wt. Dayson | Days on
(yrs.} (Ib. ) (Ib.) Baseline Diet Dilution

61.5 _ 58.5 18 ean
50, 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° set Eee
22.0 23.5 40 30

 

Dilution at 20% level.

 

Source: https:/Awww.industrydocuments.ucsf.edu/ ocs/hidg0227
","SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.L.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

t

within two weeks of admission to the M.I. T.. Clinical Center, to their

respective State schools. -
Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are

t

further described in Section 3 of this report. BO i
. . ~ ‘
Details are given in Table 2 for the seven children who were
° i
studied during the entire experimental period.

Table 2
Age and weight of children and experimental design used for
studies of milk protein dilution!

.

Subject Age Initial Wt. Final Wt. Days on Days on
(yrs.)} (Ib. ) (Ib.) Baseline Dict Dilution

61.5 58.5 18 7 20
33.0. 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° 42
22.0 23.5 40 30

Dilution at 20% level.

 
",True,True,5.319,3.66
65,58.5,table/list,simple,"SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.I.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

=

_within two weeks of admission to the M.I. T.,Clinical Center, to their

respective State schools,

Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are.

farther described in Section 3 of this report.

‘Details are given in Table 2 for the seven children who were

studied during the entire experimental period. ~
Table 2

Age and weight of children and experimental design used for
studies of milk protein dilution!

amber ganar

e096

Subject Age Initial Wt. Final Wt. Dayson | Days on
(yrs.} (Ib. ) (Ib.) Baseline Diet Dilution

61.5 _ 58.5 18 ean
50, 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° set Eee
22.0 23.5 40 30

 

Dilution at 20% level.

 

Source: https:/Awww.industrydocuments.ucsf.edu/ ocs/hidg0227
","SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.L.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

t

within two weeks of admission to the M.I. T.. Clinical Center, to their

respective State schools. -
Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are

t

further described in Section 3 of this report. BO i
. . ~ ‘
Details are given in Table 2 for the seven children who were
° i
studied during the entire experimental period.

Table 2
Age and weight of children and experimental design used for
studies of milk protein dilution!

.

Subject Age Initial Wt. Final Wt. Days on Days on
(yrs.)} (Ib. ) (Ib.) Baseline Dict Dilution

61.5 58.5 18 7 20
33.0. 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° 42
22.0 23.5 40 30

Dilution at 20% level.

 
",True,True,4.046,3.064
66,40,table/list,simple,"SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.I.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

=

_within two weeks of admission to the M.I. T.,Clinical Center, to their

respective State schools,

Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are.

farther described in Section 3 of this report.

‘Details are given in Table 2 for the seven children who were

studied during the entire experimental period. ~
Table 2

Age and weight of children and experimental design used for
studies of milk protein dilution!

amber ganar

e096

Subject Age Initial Wt. Final Wt. Dayson | Days on
(yrs.} (Ib. ) (Ib.) Baseline Diet Dilution

61.5 _ 58.5 18 ean
50, 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° set Eee
22.0 23.5 40 30

 

Dilution at 20% level.

 

Source: https:/Awww.industrydocuments.ucsf.edu/ ocs/hidg0227
","SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.L.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

t

within two weeks of admission to the M.I. T.. Clinical Center, to their

respective State schools. -
Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are

t

further described in Section 3 of this report. BO i
. . ~ ‘
Details are given in Table 2 for the seven children who were
° i
studied during the entire experimental period.

Table 2
Age and weight of children and experimental design used for
studies of milk protein dilution!

.

Subject Age Initial Wt. Final Wt. Days on Days on
(yrs.)} (Ib. ) (Ib.) Baseline Dict Dilution

61.5 58.5 18 7 20
33.0. 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° 42
22.0 23.5 40 30

Dilution at 20% level.

 
",True,True,6.033,3.018
67,30,table/list,simple,"SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.I.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

=

_within two weeks of admission to the M.I. T.,Clinical Center, to their

respective State schools,

Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are.

farther described in Section 3 of this report.

‘Details are given in Table 2 for the seven children who were

studied during the entire experimental period. ~
Table 2

Age and weight of children and experimental design used for
studies of milk protein dilution!

amber ganar

e096

Subject Age Initial Wt. Final Wt. Dayson | Days on
(yrs.} (Ib. ) (Ib.) Baseline Diet Dilution

61.5 _ 58.5 18 ean
50, 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° set Eee
22.0 23.5 40 30

 

Dilution at 20% level.

 

Source: https:/Awww.industrydocuments.ucsf.edu/ ocs/hidg0227
","SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.L.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

t

within two weeks of admission to the M.I. T.. Clinical Center, to their

respective State schools. -
Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are

t

further described in Section 3 of this report. BO i
. . ~ ‘
Details are given in Table 2 for the seven children who were
° i
studied during the entire experimental period.

Table 2
Age and weight of children and experimental design used for
studies of milk protein dilution!

.

Subject Age Initial Wt. Final Wt. Days on Days on
(yrs.)} (Ib. ) (Ib.) Baseline Dict Dilution

61.5 58.5 18 7 20
33.0. 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° 42
22.0 23.5 40 30

Dilution at 20% level.

 
",True,True,4.055,3.686
68,5,table/list,simple,"SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.I.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

=

_within two weeks of admission to the M.I. T.,Clinical Center, to their

respective State schools,

Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are.

farther described in Section 3 of this report.

‘Details are given in Table 2 for the seven children who were

studied during the entire experimental period. ~
Table 2

Age and weight of children and experimental design used for
studies of milk protein dilution!

amber ganar

e096

Subject Age Initial Wt. Final Wt. Dayson | Days on
(yrs.} (Ib. ) (Ib.) Baseline Diet Dilution

61.5 _ 58.5 18 ean
50, 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° set Eee
22.0 23.5 40 30

 

Dilution at 20% level.

 

Source: https:/Awww.industrydocuments.ucsf.edu/ ocs/hidg0227
","SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.L.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

t

within two weeks of admission to the M.I. T.. Clinical Center, to their

respective State schools. -
Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are

t

further described in Section 3 of this report. BO i
. . ~ ‘
Details are given in Table 2 for the seven children who were
° i
studied during the entire experimental period.

Table 2
Age and weight of children and experimental design used for
studies of milk protein dilution!

.

Subject Age Initial Wt. Final Wt. Days on Days on
(yrs.)} (Ib. ) (Ib.) Baseline Dict Dilution

61.5 58.5 18 7 20
33.0. 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° 42
22.0 23.5 40 30

Dilution at 20% level.

 
",True,True,5.046,3.009
69,33.0,table/list,simple,"SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.I.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

=

_within two weeks of admission to the M.I. T.,Clinical Center, to their

respective State schools,

Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are.

farther described in Section 3 of this report.

‘Details are given in Table 2 for the seven children who were

studied during the entire experimental period. ~
Table 2

Age and weight of children and experimental design used for
studies of milk protein dilution!

amber ganar

e096

Subject Age Initial Wt. Final Wt. Dayson | Days on
(yrs.} (Ib. ) (Ib.) Baseline Diet Dilution

61.5 _ 58.5 18 ean
50, 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° set Eee
22.0 23.5 40 30

 

Dilution at 20% level.

 

Source: https:/Awww.industrydocuments.ucsf.edu/ ocs/hidg0227
","SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.L.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

t

within two weeks of admission to the M.I. T.. Clinical Center, to their

respective State schools. -
Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are

t

further described in Section 3 of this report. BO i
. . ~ ‘
Details are given in Table 2 for the seven children who were
° i
studied during the entire experimental period.

Table 2
Age and weight of children and experimental design used for
studies of milk protein dilution!

.

Subject Age Initial Wt. Final Wt. Days on Days on
(yrs.)} (Ib. ) (Ib.) Baseline Dict Dilution

61.5 58.5 18 7 20
33.0. 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° 42
22.0 23.5 40 30

Dilution at 20% level.

 
",True,True,4.09,4.826
70,37.0,table/list,simple,"SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.I.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

=

_within two weeks of admission to the M.I. T.,Clinical Center, to their

respective State schools,

Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are.

farther described in Section 3 of this report.

‘Details are given in Table 2 for the seven children who were

studied during the entire experimental period. ~
Table 2

Age and weight of children and experimental design used for
studies of milk protein dilution!

amber ganar

e096

Subject Age Initial Wt. Final Wt. Dayson | Days on
(yrs.} (Ib. ) (Ib.) Baseline Diet Dilution

61.5 _ 58.5 18 ean
50, 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° set Eee
22.0 23.5 40 30

 

Dilution at 20% level.

 

Source: https:/Awww.industrydocuments.ucsf.edu/ ocs/hidg0227
","SECTION 1

STUDIES ON THE EFFECT OF MILK PROTEIN

DILUTION IN CHILDREN AT M.L.T.

Studies on the effect of dilution of skim milk protein were

commenced on fourteen mentally retarded children. Of these fourteen

children, seven were found to bé unsatisfactory for study and returned,

t

within two weeks of admission to the M.I. T.. Clinical Center, to their

respective State schools. -
Details of experimental design, diet, and analytical procedures

were previously described in the 1967 Annual Progress Report and are

t

further described in Section 3 of this report. BO i
. . ~ ‘
Details are given in Table 2 for the seven children who were
° i
studied during the entire experimental period.

Table 2
Age and weight of children and experimental design used for
studies of milk protein dilution!

.

Subject Age Initial Wt. Final Wt. Days on Days on
(yrs.)} (Ib. ) (Ib.) Baseline Dict Dilution

61.5 58.5 18 7 20
33.0. 36.0 26 83
33.0 35.0 25 32
34.0 36.0 33 32
41.0 43.0 29 40
35.0 37.0 25° 42
22.0 23.5 40 30

Dilution at 20% level.

 
",True,True,4.173,2.902
71,TEN,free_text,simple,"June 18, 1975

The Ability of Dietary Glycan to Lower Elevated
Blood Cholesterol and Triglycerides in Rats.

Ten male rats were fed the control diet (basal + cholesterol and
cholic acid) for four weeks and divided into two groups. One group (2A)
continued to receive the control diet. The second group (2B) received a
test diet of the same composition as the control diet except that 15 parts
of Glycan replaced 15 parts of sucrose. Another group (#1) of ten male rats
were fed the basal diet for four weeks and then continued on the basal diet.
At weekly intervals, whole blood was drawn from the caudal vein for the
determination of serum cholesterol. At the end of four weeks, whole blood

was drawn by heart puncture.

Blood Analysis

Group #1 #3 L—

Cholesterol mg % 0 Wk. 96
i 96
2 96
3 96
i

Triglyceride mg % 4 Wk.

 
","June 18, 1975

The Ability of Dietary Glycan to Lower Elevated
Blood Cholesterol and Triglycerides in Rats.

Ten male rats were fed the control diet (basal + cholesterol and
cholic acid) for four weeks and divided into two groups. One group (2A)
continued to receive the control diet. The second group (223) received a
test diet of the same composition as the control diet except that 15 parts
of Glycan renlaced 15 narts of sucrose. Another sroun (/1) of ten male rats
were fed the basal diet for four weeks and then continued on the basal diet.
At weekly intervals, whole blood was drawn from the caudal vein for the
determination of serum cholesterol. At the end of four weeks, whole blood

was drawn by heart puncture.

Blood Analysis

Group #1

Cholesterol mg % 96

3
4

Triglyceride mg % 4 Wk.

 
",True,True,4.191,5.054
